TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,"Concurrency, semaphores, mutex",4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Mutex vs Semaphore: What's the Difference?](https://www.guru99.com/mutex-vs-semaphore.html),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Mutex vs Semaphore - GeeksforGeeks](https://www.geeksforgeeks.org/mutex-vs-semaphore/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Resource allocation,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,"Process, Threads",4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Bitwise Operators @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Learn more about company @Week_4,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,System Design @If_time_permits,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[HiredInTech's Training Camp for Coding Interviews](https://www.hiredintech.com/classrooms/system-design/lesson/52),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Design Patterns @If_time_permits,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Probability @If_time_permits,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
section,Focus,,,,,,,
section,Current,,,,,,,
task,Refer Everyday,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[AlgoDaily - Daily coding interview questions. Full programming interview prep course and software career coaching.](https://algodaily.com/lessons/an-executable-data-structures-cheat-sheet),1,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[jwasham/coding-interview-university](https://github.com/jwasham/coding-interview-university#data-structures),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[TSiege/Tech-Interview-Cheat-Sheet](https://github.com/TSiege/Tech-Interview-Cheat-Sheet),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Technical Interview Preparation - Data Structures and Algorithms - HackMD](https://hackmd.io/@nesquena/SJIV-n7B?type=view),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Algorithms and Data Structures Cheatsheet](https://algs4.cs.princeton.edu/cheatsheet/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,https://gist.github.com/TSiege/cbb0507082bb18ff7e4b,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,"[Data structures cheat sheet, for coding interviews and computer science classes | Interview Cake](https://www.interviewcake.com/data-structures-reference)",4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Common questions,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Google Coding Interview Questions: top 18 questions explained](https://www.educative.io/blog/google-coding-interview-questions),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Grokking the Object Oriented Design Interview - Learn Interactively](https://www.educative.io/courses/grokking-the-object-oriented-design-interview),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[About - Project Euler](https://projecteuler.net/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Minimum size sub array](https://leetcode.com/problems/minimum-size-subarray-sum/solution/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Rotate array](https://leetcode.com/problems/rotate-array/solution/),4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,LRU cache implementation,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Master theorem,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Evaluate Reverse Polish NotationSolution,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Karumanchi DS book,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Tech talks,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
section,Covered,,,,,,,
